Provincia,Pct_Pared_Ladrillo,Pct_Techo_Concreto,Pct_Pisos_Solicitados
CHEPÉN,33.90199805294145,24.75545871772287,90.24152797737703
JULCÁN,0.7888212756366914,0.5183682668469687,99.87604237097138
OTUZCO,2.9655321916323434,2.0247127682636026,99.44504660741383
PACASMAYO,31.765288437732114,25.38817953524564,88.65702260106816
PATAZ,8.238297872340425,4.391489361702128,98.76312056737588
SÁNCHEZ CARRIÓN,11.832627701105185,10.32330785726068,98.60614724803432
SANTIAGO DE CHUCO,4.457804824400616,1.9356257790160571,99.72871911430457
GRAN CHIMÚ,4.719043332904719,2.4045261669024045,99.02275941879903
VIRÚ,34.692757863935626,26.495062179956108,96.16404535479151
CHICLAYO,65.1639915539058,55.67142835017217,69.42833984687582
FERREÑAFE,26.68367137038713,18.743571810589543,92.98144567408565
LAMBAYEQUE,35.106929950113255,21.777858065950557,90.06850742742797
LIMA,85.06960279514527,74.32824567855829,54.03562890768665
BARRANCA,59.274510832502756,43.177883858784035,82.84635157110634
CAJATAMBO,4.492820750347383,1.667438628994905,99.30523390458545
CANTA,21.279373368146214,10.600522193211487,97.2845953002611
CAÑETE,60.579153032372844,39.99587000031769,84.9445626965721
HUARAL,63.38550945957411,47.25332993976415,82.58038517010266
HUAROCHIRÍ,34.72645302790301,21.77409528451322,91.06250761545023
HUAURA,52.93083909537339,39.407426872731456,79.87090840409283
OYÓN,18.815104166666664,11.328125,97.00520833333334
YAUYOS,8.808213063532213,3.228686207409612,99.36021425383129
MAYNAS,51.97776184348817,6.851198837015136,86.89873977231429
ALTO AMAZONAS,34.394107340794505,4.934386956055351,94.76883469803697
LORETO,9.873081463990555,0.7674144037780402,98.8193624557261
MARISCAL RAMÓN CASTILLA,9.383145091225021,0.5405927213051452,98.2334202143064
REQUENA,10.39121822383625,0.5942555298778475,98.91053152855727
UCAYALI,6.4319170291067245,0.6440281030444965,98.5446637671462
DATEM DEL MARAÑÓN,6.5931883626253605,0.7248535398669447,99.24535795849468
PUTUMAYO,4.7114252061248525,0.11778563015312131,99.82332155477032
MADRE DE DIOS PROV. DE TAMBOPATA,57.959949532528874,19.21322506551066,88.57364692180776
MADRE DE DIOS PROV. DE MANU,38.292061179898035,8.485069191551348,96.46758922068463
MADRE DE DIOS PROV. DE TAHUAMANU,33.277367360644725,3.4251175285426463,94.02283411685694
MARISCAL NIETO,52.32994498487995,45.7973549021751,82.61740809560243
GENERAL SÁNCHEZ CERRO,19.926021228690896,10.035381151495658,98.48825989064008
ILO,81.42769392769392,69.07248157248156,71.68743418743418
PASCO,58.56734653660459,11.751568299011398,93.07320918317076
DANIEL ALCIDES CARRIÓN,8.72907746204749,3.464383028415726,99.27987543791359
OXAPAMPA,28.098212362696533,7.383157441309499,94.4992461770407
PIURA,56.01858776322779,26.700053122630756,80.76651314398295
AYABACA,3.0529840456962773,1.1194274834219684,99.51414877552361
HUANCABAMBA,2.9709936358693914,1.1417058428475486,99.45952860660718
MORROPÓN,32.0999466002136,7.762993948024207,96.47116411534354
PAITA,56.895115711821056,18.026057469212923,89.2587304420251
SULLANA,51.349359625940224,19.954513112421225,87.12263671477942
TALARA,67.1440675649821,33.79342389373275,78.25183808456556
SECHURA,68.15174016265091,29.130676365105824,86.8212355407385
PUNO,43.772653550525355,36.63070305338129,89.32374303645723
AZÁNGARO,10.633672401299014,8.365763976488902,99.53836656915108
CARABAYA,5.140461215932914,4.20125786163522,99.40461215932915
CHUCUITO,16.231255042706508,9.659739031243914,99.31001864062543
EL COLLAO,28.823804695421572,16.309180251150458,98.51415646205444
HUANCANÉ,6.144159791576205,4.220581849761182,99.7351280937907
LAMPA,7.058284817164911,5.095833060770589,99.56826061359325
MELGAR,13.193978329657686,10.456419599194554,98.624029149487
MOHO,1.8950437317784257,1.2334604171338865,99.85422740524781
SAN ANTONIO DE PUTINA,16.004872107186358,8.185140073081607,98.98497766950874
SAN ROMÁN,73.00288009701379,59.37294729927744,93.08018796422617
SANDIA,8.267696267696268,5.142857142857142,99.61904761904762
YUNGUYO,22.884547069271758,17.435168738898756,98.23801065719361
MOYOBAMBA,58.21792607739257,18.641757288471666,90.2872014127707
BELLAVISTA,34.966668957459966,7.511511236341145,96.71500240533297
EL DORADO,26.49656526005888,1.8427652382510085,99.09497328535602
HUALLAGA,37.62120232708468,5.959922430510666,97.50484809308338
LAMAS,33.4481154025128,2.8106095858538858,97.49185667752444
MARISCAL CÁCERES,43.983605554536,14.375726432984646,93.50339511837035
PICOTA,36.44301034450033,5.400018980734554,96.96308247129164
RIOJA,55.238512857456065,17.536881009803615,94.71920318225952
SAN MARTÍN,61.98746274791902,18.68667146233686,79.60949542698592
TOCACHE,46.06077348066298,14.171270718232043,96
TACNA,85.96473641416335,56.304786090598235,77.63446608970717
CANDARAVE,7.956900124326564,3.5640281806879406,99.7513468711148
JORGE BASADRE,44.60032626427406,33.898858075040785,74.32300163132138
TARATA,7.480314960629922,2.668416447944007,99.65004374453194
TUMBES,50.34262220191869,19.537880791517395,83.36659373422135
CONTRALMIRANTE VILLAR,42.82411524097457,9.870176062600036,90.78783567490663
ZARUMILLA,55.4427235534775,13.398597311513734,90.42957334891875
CORONEL PORTILLO,25.782031614753553,7.954823362013384,92.11409769003312
ATALAYA,11.262263995382966,2.514634347431775,98.2191441998516
PADRE ABAD,26.25616420098627,7.603625216580035,97.06783953085433
PURÚS,1.7569546120058566,0,100
